Nama Provinsi,Nama Kabupaten Kota,Kelompok Umur,Jenis Kelamin,Jumlah Kasus,Tahun
JAWA BARAT,KABUPATEN SUBANG,25-49,LAKI-LAKI,105,2019
JAWA BARAT,KABUPATEN SUBANG,25-49,PEREMPUAN,34,2019
JAWA BARAT,KABUPATEN SUBANG,≥50,LAKI-LAKI,1,2019
JAWA BARAT,KABUPATEN SUBANG,≥50,PEREMPUAN,3,2019
JAWA BARAT,KABUPATEN PURWAKARTA,0-4,LAKI-LAKI,3,2019
JAWA BARAT,KABUPATEN PURWAKARTA,0-4,PEREMPUAN,2,2019
JAWA BARAT,KABUPATEN PURWAKARTA,5-14,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN PURWAKARTA,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN PURWAKARTA,15-19,LAKI-LAKI,2,2019
JAWA BARAT,KABUPATEN PURWAKARTA,15-19,PEREMPUAN,1,2019
JAWA BARAT,KABUPATEN PURWAKARTA,20-24,LAKI-LAKI,24,2019
JAWA BARAT,KABUPATEN PURWAKARTA,20-24,PEREMPUAN,9,2019
JAWA BARAT,KABUPATEN PURWAKARTA,25-49,LAKI-LAKI,105,2019
JAWA BARAT,KABUPATEN PURWAKARTA,25-49,PEREMPUAN,34,2019
JAWA BARAT,KABUPATEN PURWAKARTA,≥50,LAKI-LAKI,13,2019
JAWA BARAT,KABUPATEN PURWAKARTA,≥50,PEREMPUAN,4,2019
JAWA BARAT,KABUPATEN KARAWANG,0-4,LAKI-LAKI,1,2019
JAWA BARAT,KABUPATEN KARAWANG,0-4,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN KARAWANG,5-14,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN KARAWANG,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN KARAWANG,15-19,LAKI-LAKI,34,2019
JAWA BARAT,KABUPATEN KARAWANG,15-19,PEREMPUAN,4,2019
JAWA BARAT,KABUPATEN KARAWANG,20-24,LAKI-LAKI,78,2019
JAWA BARAT,KABUPATEN KARAWANG,20-24,PEREMPUAN,48,2019
JAWA BARAT,KABUPATEN KARAWANG,25-49,LAKI-LAKI,44,2019
JAWA BARAT,KABUPATEN KARAWANG,25-49,PEREMPUAN,39,2019
JAWA BARAT,KABUPATEN KARAWANG,≥50,LAKI-LAKI,5,2019
JAWA BARAT,KABUPATEN KARAWANG,≥50,PEREMPUAN,2,2019
JAWA BARAT,KABUPATEN BEKASI,0-4,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN BEKASI,0-4,PEREMPUAN,2,2019
JAWA BARAT,KABUPATEN BEKASI,5-14,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN BEKASI,5-14,PEREMPUAN,1,2019
JAWA BARAT,KABUPATEN BEKASI,15-19,LAKI-LAKI,6,2019
JAWA BARAT,KABUPATEN BEKASI,15-19,PEREMPUAN,2,2019
JAWA BARAT,KABUPATEN BEKASI,20-24,LAKI-LAKI,34,2019
JAWA BARAT,KABUPATEN BEKASI,20-24,PEREMPUAN,12,2019
JAWA BARAT,KABUPATEN BEKASI,25-49,LAKI-LAKI,102,2019
JAWA BARAT,KABUPATEN BEKASI,25-49,PEREMPUAN,57,2019
JAWA BARAT,KABUPATEN BEKASI,≥50,LAKI-LAKI,4,2019
JAWA BARAT,KABUPATEN BEKASI,≥50,PEREMPUAN,2,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,0-4,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,0-4,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,5-14,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,15-19,LAKI-LAKI,2,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,15-19,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,20-24,LAKI-LAKI,15,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,20-24,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,25-49,LAKI-LAKI,14,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,25-49,PEREMPUAN,5,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,≥50,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN BANDUNG BARAT,≥50,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN PANGANDARAN,0-4,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN PANGANDARAN,0-4,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN PANGANDARAN,5-14,LAKI-LAKI,1,2019
JAWA BARAT,KABUPATEN PANGANDARAN,5-14,PEREMPUAN,0,2019
JAWA BARAT,KABUPATEN PANGANDARAN,15-19,LAKI-LAKI,0,2019
JAWA BARAT,KABUPATEN PANGANDARAN,15-19,PEREMPUAN,2,2019
JAWA BARAT,KABUPATEN PANGANDARAN,20-24,LAKI-LAKI,6,2019
JAWA BARAT,KABUPATEN PANGANDARAN,20-24,PEREMPUAN,2,2019
JAWA BARAT,KABUPATEN PANGANDARAN,25-49,LAKI-LAKI,9,2019
JAWA BARAT,KABUPATEN PANGANDARAN,25-49,PEREMPUAN,3,2019
JAWA BARAT,KABUPATEN PANGANDARAN,≥50,LAKI-LAKI,2,2019
JAWA BARAT,KABUPATEN PANGANDARAN,≥50,PEREMPUAN,1,2019
JAWA BARAT,KOTA BOGOR,0-4,LAKI-LAKI,6,2019
JAWA BARAT,KOTA BOGOR,0-4,PEREMPUAN,3,2019
JAWA BARAT,KOTA BOGOR,5-14,LAKI-LAKI,1,2019
JAWA BARAT,KOTA BOGOR,5-14,PEREMPUAN,2,2019
JAWA BARAT,KOTA BOGOR,15-19,LAKI-LAKI,5,2019
JAWA BARAT,KOTA BOGOR,15-19,PEREMPUAN,2,2019
JAWA BARAT,KOTA BOGOR,20-24,LAKI-LAKI,58,2019
JAWA BARAT,KOTA BOGOR,20-24,PEREMPUAN,5,2019
JAWA BARAT,KOTA BOGOR,25-49,LAKI-LAKI,254,2019
JAWA BARAT,KOTA BOGOR,25-49,PEREMPUAN,95,2019
JAWA BARAT,KOTA BOGOR,≥50,LAKI-LAKI,7,2019
JAWA BARAT,KOTA BOGOR,≥50,PEREMPUAN,5,2019
JAWA BARAT,KOTA SUKABUMI,0-4,LAKI-LAKI,0,2019
JAWA BARAT,KOTA SUKABUMI,0-4,PEREMPUAN,2,2019
JAWA BARAT,KOTA SUKABUMI,5-14,LAKI-LAKI,1,2019
JAWA BARAT,KOTA SUKABUMI,5-14,PEREMPUAN,1,2019
JAWA BARAT,KOTA SUKABUMI,15-19,LAKI-LAKI,2,2019
JAWA BARAT,KOTA SUKABUMI,15-19,PEREMPUAN,2,2019
JAWA BARAT,KOTA SUKABUMI,20-24,LAKI-LAKI,6,2019
JAWA BARAT,KOTA SUKABUMI,20-24,PEREMPUAN,3,2019
JAWA BARAT,KOTA SUKABUMI,25-49,LAKI-LAKI,20,2019
JAWA BARAT,KOTA SUKABUMI,25-49,PEREMPUAN,17,2019
JAWA BARAT,KOTA SUKABUMI,≥50,LAKI-LAKI,2,2019
JAWA BARAT,KOTA SUKABUMI,≥50,PEREMPUAN,1,2019
JAWA BARAT,KOTA BANDUNG,0-4,LAKI-LAKI,1,2019
JAWA BARAT,KOTA BANDUNG,0-4,PEREMPUAN,2,2019
